date,PDM_angles,PDM_distance,Granger,Lagged_correlation,Multivariate_regression,Transfer_entropy,Linear_pooling,Median_pooling
2016-05-01,0.44999999999999996,0.44999999999999996,0.10350258030561928,0.07709639927880979,0.08831892013271407,0.024266772974395275,0.08181818181818179,-0.1
2016-06-01,0.44999999999999996,0.44999999999999996,0.26783303065144126,0.2497924847282521,0.25570475951904126,0.22208505723563246,0.2545454545454545,0.2
2016-07-01,0.6499999999999999,0.6499999999999999,0.30945397040435063,0.29592042012339975,0.31572887479463263,0.30134168696612185,0.3,0.3
2016-08-01,0.875,0.875,0.4347423242107987,0.38927074438368314,0.39835752652886913,0.3874614034706193,0.39090909090909093,0.4
2016-09-01,0.5,0.5,0.4669093769258126,0.4383328413786413,0.4646151575966251,0.44460682090076376,0.4363636363636364,0.5
2016-10-01,1.0666666666666669,1.0666666666666669,0.6959060173513961,0.6456474582092415,0.6548292186698063,0.6594930776877509,0.6454545454545455,0.6
2016-11-01,0.55,0.55,0.6137874495209873,0.5844610834615032,0.6142242345282724,0.5763591699554937,0.5818181818181818,0.5
2016-12-01,1.6,1.6,1.026662515927307,0.9973319659811934,1.0229434918633757,1.0137651135533412,0.9909090909090907,0.9
2017-01-01,1.8569345704235112,1.8571537872991581,1.7014325593979398,1.634355047427075,1.6350306022721208,1.7170318548120127,1.627272727272727,1.6
2017-02-01,3.1283217634507863,3.1280813214739513,1.907058605891447,1.8454732021395484,1.8443052851333457,1.8916267949385501,1.8363636363636364,1.6
2017-03-01,1.3158719665599319,1.3155721056194987,1.5194366984037093,1.4764167256397858,1.4795046598481294,1.5648932242014177,1.4727272727272724,1.4
2017-04-01,2.1566153668887718,2.1568561872909697,1.8764062962440944,1.8386176243816685,1.8252869234888438,1.9092015732286716,1.8272727272727276,2.0
2017-05-01,1.1307117027966935,1.1314285714285715,1.3974120305981068,1.3340082148596273,1.32834315246815,1.3992182968155125,1.3272727272727272,1.5
2017-06-01,0.8584518538941688,0.8583333333333334,1.152795429558303,1.1000268677869167,1.1120146787268617,1.1212731066484911,1.0909090909090908,1.0
2017-07-01,1.6333333333333333,1.6333333333333333,1.2316977027846598,1.1907770099943162,1.181959379476941,1.1839267643268823,1.1818181818181817,1.2
2017-08-01,1.7370768838245718,1.7375,1.390257262570775,1.3742412996293705,1.3724539764767638,1.3735483185338426,1.3636363636363638,1.4
2017-09-01,1.95,1.95,1.4594944638007044,1.427007837779913,1.42596120723545,1.4346886231245852,1.418181818181818,1.4
2017-10-01,1.248115307972582,1.2480988593155895,1.3398947474461516,1.318986096725596,1.3222527192790554,1.3407236441800658,1.309090909090909,1.3
2017-11-01,2.0660348356825096,2.065693430656934,1.5017951428589524,1.469840599443197,1.4658527831042516,1.4772364492406909,1.4636363636363638,1.5
